EE Provider ID	EE UID	Client ID	Client Age at Entry	Client Age at Exit	Client Gender	Client Primary Race	Client Ethnicity	Client Veteran Status	Entry Date	Exit Date	Destination	Reason for Leaving	length of stay
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	733250	288272	48.0	49.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-18	2016-02-05	Hospital or other residential non-psychiatric medical facility (HUD)	Other	18.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	733251	303935	30.0	30.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-19	2016-01-26	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	733252	344697	47.0	47.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-19	2016-01-21	Staying or living with friends, temporary tenure (HUD)	Other	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	733696	402826	49.0	49.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-20	2016-01-31	Staying or living with friends, temporary tenure (HUD)	Other	11.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	733697	160758	60.0	60.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-20	2016-01-24	Staying or living with friends, temporary tenure (HUD)	Other	4.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	733699	417656	33.0	33.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-20	2016-01-21	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	733700	188933	42.0	42.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-20	2016-01-21	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735019	172032	26.0	26.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-21	2016-02-02	Staying or living with friends, temporary tenure (HUD)	Other	12.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735026	70856	56.0	56.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-01-21	2016-02-04	Staying or living with friends, temporary tenure (HUD)	Other	14.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735027	402258	41.0	41.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-22	2016-04-07	Hospital or other residential non-psychiatric medical facility (HUD)	Other	76.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735028	320781	41.0	41.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-22	2016-01-25	Staying or living with friends, temporary tenure (HUD)	Other	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735031	163753	48.0	48.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-23	2016-01-30	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735032	402256	37.0	38.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-23	2016-04-09	Rental by client, no ongoing housing subsidy (HUD)	Completed program	77.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735033	409236	42.0	42.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-23	2016-02-25	Staying or living with friends, temporary tenure (HUD)	Other	33.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735036	417656	33.0	33.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-23	2016-01-26	Staying or living with friends, temporary tenure (HUD)	Other	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735039	419524	52.0	52.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-24	2016-02-05	Staying or living with friends, temporary tenure (HUD)	Other	12.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735040	200300	54.0	54.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-24	2016-02-11	Staying or living with family, permanent tenure (HUD)	Disagreement with rules/persons	18.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735041	420825	37.0	37.0	Trans Female (MTF or Male to Female)	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-24	2016-03-28	Staying or living with friends, temporary tenure (HUD)	Other	64.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735042	209331	56.0	56.0	Male	White (HUD)	Hispanic/Latino (HUD)	No (HUD)	2016-01-24	2016-03-17	Staying or living with friends, temporary tenure (HUD)	Other	53.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735046	420527	32.0	32.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-20	2016-04-20	Client refused (HUD)	Left for housing opp. before completing program	91.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735048	300905	30.0	30.0	Trans Female (MTF or Male to Female)	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-21	2016-01-31	Staying or living with friends, temporary tenure (HUD)	Other	10.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735053	158986	38.0	38.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-23	2016-02-10	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	18.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735193	420702	50.0	50.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-19	2016-01-29	Staying or living with friends, temporary tenure (HUD)	Other	10.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735536	404217	25.0	25.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-25	2016-01-31	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	6.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735537	183537	47.0	47.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-25	2016-01-29	Staying or living with friends, temporary tenure (HUD)	Other	4.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735538	415735	26.0	26.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-25	2016-02-04	Staying or living with friends, temporary tenure (HUD)	Other	10.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735539	158981	55.0	55.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-21	2016-02-03	Staying or living with friends, temporary tenure (HUD)	Other	13.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735540	420897	63.0	63.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-22	2016-02-15	Staying or living with friends, temporary tenure (HUD)	Other	24.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735620	123122	51.0	52.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-12-04	2016-02-17	Staying or living with friends, temporary tenure (HUD)	Other	75.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	735978	299695	58.0	58.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-26	2016-02-17	Hospital or other residential non-psychiatric medical facility (HUD)	Other	22.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736094	190642	68.0	68.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-20	2016-02-01	Data not collected (HUD)	Non-compliance with program	12.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736606	355355	22.0	22.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-27	2016-02-01	Staying or living with friends, temporary tenure (HUD)	Other	5.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736609	303935	30.0	30.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-27	2016-02-01	Staying or living with friends, temporary tenure (HUD)	Other	5.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736611	412307	20.0	20.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-27	2016-01-28	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736612	420997	64.0	64.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-01-27	2016-02-03	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736613	419911	76.0	76.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-01-22	2016-01-31	Staying or living with friends, temporary tenure (HUD)	Other	9.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736614	143061	60.0	61.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-01-27	2016-02-15	Staying or living with friends, temporary tenure (HUD)	Other	19.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736615	146403	51.0	51.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-27	2016-02-05	Staying or living with friends, temporary tenure (HUD)	Other	9.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736616	188933	42.0	42.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-27	2016-02-15	Staying or living with friends, temporary tenure (HUD)	Other	19.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	736617	158745	30.0	30.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-20	2016-02-09	Staying or living with friends, temporary tenure (HUD)	Other	20.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	737183	2142	62.0	62.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-28	2016-02-06	Staying or living with friends, temporary tenure (HUD)	Other	9.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	737184	402130	51.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-28	2016-02-25	Staying or living with friends, temporary tenure (HUD)	Other	28.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738092	363079	46.0	46.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-30	2016-01-31	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738093	416284	55.0	55.0	Male	White (HUD)	Hispanic/Latino (HUD)	Yes (HUD)	2016-01-29	2016-03-22	Hospital or other residential non-psychiatric medical facility (HUD)	Other	53.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738094	344697	47.0	47.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-29	2016-01-30	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738620	177647	63.0	63.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-01	2016-02-23	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	22.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738621	292185	23.0	23.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-01	2016-02-09	Staying or living with friends, temporary tenure (HUD)	Other	8.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738622	265171	35.0	35.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-01	2016-02-19	Staying or living with friends, temporary tenure (HUD)	Other	18.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738627	200794	50.0	50.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-01	2016-02-02	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738628	421416	18.0	18.0	Male	Black or African American (HUD)	Hispanic/Latino (HUD)	No (HUD)	2016-01-25	2016-02-18	Staying or living with friends, temporary tenure (HUD)	Other	24.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738630	296887	61.0	61.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-01	2016-02-18	Staying or living with friends, temporary tenure (HUD)	Other	17.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738632	421434	48.0	48.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-01	2016-02-13	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	12.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	738633	421417	34.0	34.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-01-29	2016-02-05	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739168	421521	56.0	56.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-02	2016-06-06	Staying or living with friends, temporary tenure (HUD)	Other	125.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739169	401403	33.0	33.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-02	2016-02-09	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739170	257407	25.0	25.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-02	2016-05-21	Staying or living with friends, temporary tenure (HUD)	Other	109.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739171	373730	27.0	27.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-01	2016-03-08	Rental by client, with VASH housing subsidy (HUD)	Left for housing opp. before completing program	36.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739172	274376	50.0	50.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-02	2016-02-04	Staying or living with family, permanent tenure (HUD)	Left for housing opp. before completing program	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739173	300220	58.0	58.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-01	2016-04-11	Rental by client, no ongoing housing subsidy (HUD)	Completed program	70.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739174	363433	48.0	48.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-02	2016-03-02	Staying or living with friends, temporary tenure (HUD)	Other	29.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739649	416394	40.0	40.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-03	2016-02-09	Staying or living with friends, temporary tenure (HUD)	Other	6.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739650	172060	27.0	27.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-02	2016-02-05	Staying or living with friends, temporary tenure (HUD)	Other	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	739652	163753	48.0	48.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-03	2016-02-05	Staying or living with friends, temporary tenure (HUD)	Other	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	740145	271159	29.0	29.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-04	2016-02-08	Staying or living with friends, temporary tenure (HUD)	Other	4.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741109	158981	55.0	55.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-05	2016-02-18	Staying or living with friends, temporary tenure (HUD)	Other	13.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741110	403050	23.0	23.0	Male	American Indian or Alaska Native (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-05	2016-04-01	Staying or living with friends, temporary tenure (HUD)	Other	56.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741111	421813	63.0	63.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-05	2016-03-26	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	50.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741112	183057	38.0	38.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-09	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741113	163753	48.0	48.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-06	2016-02-08	Staying or living with friends, temporary tenure (HUD)	Other	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741114	411652	48.0	48.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-05	2016-02-11	Staying or living with friends, temporary tenure (HUD)	Other	6.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741115	344697	47.0	47.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-06	2016-02-16	Staying or living with friends, temporary tenure (HUD)	Other	10.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741119	419527	53.0	53.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-05	2016-02-11	Staying or living with friends, temporary tenure (HUD)	Other	6.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741706	179965	48.0	48.0	Male	White (HUD)	Hispanic/Latino (HUD)	No (HUD)	2016-02-08	2016-03-05	Staying or living with friends, temporary tenure (HUD)	Other	26.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741708	288272	49.0	49.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-03-21	Hospital or other residential non-psychiatric medical facility (HUD)	Other	42.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741709	390892	41.0	41.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-08	2016-02-10	Staying or living with friends, temporary tenure (HUD)	Other	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741711	333763	43.0	43.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-12	Staying or living with friends, temporary tenure (HUD)	Other	4.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741712	76511	48.0	48.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-23	Staying or living with friends, temporary tenure (HUD)	Other	15.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741713	421940	46.0	46.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-18	Staying or living with friends, temporary tenure (HUD)	Other	10.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741715	421939	61.0	61.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-19	Staying or living with friends, temporary tenure (HUD)	Other	11.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741716	421938	32.0	32.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-10	Staying or living with friends, temporary tenure (HUD)	Other	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741720	206445	38.0	38.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-12	Staying or living with friends, temporary tenure (HUD)	Other	4.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	741723	397646	59.0	59.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-05-05	Staying or living with friends, temporary tenure (HUD)	Other	87.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	742363	141942	49.0	49.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-16	Staying or living with friends, temporary tenure (HUD)	Other	8.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	742405	422042	50.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-08	2016-02-21	Staying or living with friends, temporary tenure (HUD)	Other	13.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	742846	177283	25.0	25.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-10	2016-02-22	Staying or living with friends, temporary tenure (HUD)	Other	12.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	742847	292185	23.0	23.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-10	2016-03-11	Staying or living with friends, temporary tenure (HUD)	Other	30.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	742881	231530	41.0	41.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-10	2016-02-24	Staying or living with friends, temporary tenure (HUD)	Other	14.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	742981	124639	41.0	41.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-11-23	2016-03-01	Data not collected (HUD)	Completed program	99.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	743428	422213	43.0	43.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-11	2016-02-12	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	743429	194795	32.0	32.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-11	2016-02-18	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	743431	142304	58.0	58.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2016-02-10	2016-02-22	Staying or living with friends, temporary tenure (HUD)	Other	12.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	743432	419124	41.0	41.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-11	2016-02-15	Staying or living with friends, temporary tenure (HUD)	Other	4.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	743438	417656	34.0	34.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-11	2016-02-15	Staying or living with friends, temporary tenure (HUD)	Other	4.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	743440	421938	32.0	32.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-11	2016-03-26	Staying or living with friends, temporary tenure (HUD)	Other	44.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	743441	422212	26.0	26.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-11	2016-02-19	Staying or living with friends, temporary tenure (HUD)	Other	8.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	744624	416696	49.0	49.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-12	2016-02-27	Staying or living with friends, temporary tenure (HUD)	Other	15.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	744625	289580	20.0	20.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-12	2016-02-15	Staying or living with friends, temporary tenure (HUD)	Other	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	744626	169422	32.0	32.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-13	2016-02-15	Staying or living with friends, temporary tenure (HUD)	Other	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	744628	422311	28.0	28.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-13	2016-02-15	Substance abuse treatment facility or detox center (HUD)	Needs could not be met	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	744629	184737	26.0	26.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-13	2016-02-18	Staying or living with friends, temporary tenure (HUD)	Other	5.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	744630	257677	24.0	24.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2016-02-13	2016-02-18	Staying or living with friends, temporary tenure (HUD)	Other	5.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	744631	468555	41.0	41.0	Male	White (HUD)	Hispanic/Latino (HUD)	No (HUD)	2016-02-13	2016-02-15	Staying or living with friends, temporary tenure (HUD)	Other	2.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	744632	422312	35.0	35.0	Male	White (HUD)	Hispanic/Latino (HUD)	No (HUD)	2016-02-14	2016-02-19	Staying or living with friends, temporary tenure (HUD)	Other	5.0
